"filename", "language", "HTML", "TypeScript", "CSS", "JSON", "XML", "JavaScript", "SCSS", "Less", "comment", "blank", "total"
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay.component.html", "HTML", 117, 0, 0, 0, 0, 0, 0, 0, 9, 15, 141
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay.component.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 9, 19, 133
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\accept-copay\accept-copay.module.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app.component.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app.component.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\app.module.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 2, 73
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment-routing.module.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment.component.html", "HTML", 80, 0, 0, 0, 0, 0, 0, 0, 5, 23, 108
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment.component.ts", "TypeScript", 0, 290, 0, 0, 0, 0, 0, 0, 7, 46, 343
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\appointment\appointment.module.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment-model.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment-routing.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment.component.html", "HTML", 248, 0, 0, 0, 0, 0, 0, 0, 29, 20, 297
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment.component.ts", "TypeScript", 0, 551, 0, 0, 0, 0, 0, 0, 37, 60, 648
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\book-appointment\book-appointment.module.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\common.service.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 0, 40, 148
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\core.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\dnd.directive.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\file-upload.component.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 0, 8, 2, 42
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\file-upload.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 104, 0, 2, 24, 130
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\file-upload.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\file-upload.component.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 19, 16, 119
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\progress\progress.component.html", "HTML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\progress\progress.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\progress\progress.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\file-upload\progress\progress.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\http-interceptor\api-prefix-interceptor.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\http-interceptor\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\core\shared.service.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 13, 59
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\directives.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\lazy-for.directive.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 25, 39, 181
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\directives\number.directive.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 8, 6, 35
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calendar-routing.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"e:\Sandip_da\Project\New_Project\chartdoc_web\src\app\doctor-calender\doctor-calendar.module.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
